Player.ID,Position,Date,15_sec_No_Jumps,15_sec_Contact,15_sec_Flight,15_sec_Hgt,CMJ.1,CMJ.2,R_Drift_Contact,R_Drift_Flight,R_Drift_Hgt,L_Drift_Contact,L_Drift_Flight,L_Drift_Hgt
270485,TE,5/2/19,19,0.266,0.578,16.2,18.6,18.4,0.317,0.381,7,0.315,0.372,6.7
279738,G,5/2/19,,,,,,,,,,,,
268317,WR,5/2/19,18,0.328,0.556,15,22.2,21.4,0.456,0.424,8.7,0.491,0.415,8.3
268689,CB,5/2/19,18,0.275,0.6,17.4,23.8,23.2,0.333,0.388,7.3,0.351,0.406,8
268103,WR,5/2/19,21,0.22,0.523,13.2,20.1,20.4,0.35,0.411,8.1,0.382,0.404,7.9
255797,TE,5/6/19,16,0.513,0.458,10.1,14.2,14.1,0.487,0.276,3.7,0.396,0.326,5.1
255797,TE,4/22/19,16,0.513,0.501,12.1,15.5,15.4,0.636,0.29,4.1,0.551,0.385,7.2
255797,TE,4/1/19,16,0.524,0.482,11.2,15,14.1,0.576,0.268,3.5,0.465,0.376,6.8
233282,RB,5/10/19,20,0.241,0.537,13.9,19.6,21.3,0.381,0.424,8.7,0.409,0.42,8.5
156561,DT,5/15/19,20,0.384,0.398,7.7,9,11.2,0.447,0.234,2.7,0.477,0.233,2.7
251968,RB,5/21/19,24,0.224,0.436,9.2,17.4,20.1,0.326,0.286,4,0.319,0.307,4.5
279738,G,5/21/19,28,0.277,0.272,3.6,13.9,13.4,0.392,0.184,1.7,0.456,0.198,1.9
254062,SS,5/22/19,16,0.447,0.523,13.2,14.4,14.8,0.4,0.256,3.2,0.382,0.34,5.6
255797,TE,5/27/19,16,0.472,0.511,12.6,16.1,16.5,0.471,0.325,5.1,0.501,0.373,6.7
172833,QB,6/10/19,23,0.228,0.456,10.1,16.2,16.3,0.371,0.329,5.2,0.341,0.332,5.3
238395,QB,6/10/19,15,0.544,0.526,13.4,16,18.4,0.474,0.385,7.2,0.503,0.388,7.3
190722,QB,6/10/19,21,0.249,0.506,12.4,15.4,15.5,0.373,0.354,6,0.354,0.367,6.5
251968,RB,6/10/19,31,0.253,0.251,3,13.8,13,0.329,0.207,2.1,0.308,0.2,2
256243,RB,6/10/19,26,0.2,0.403,7.9,17.8,15.6,0.319,0.238,2.8,0.296,0.311,4.7
233282,RB,6/10/19,,,,,,,,,,,,
238537,RB,6/10/19,21,0.287,0.442,9.4,12.8,12.3,0.381,0.325,5.1,0.399,0.309,4.6
268314,RB,6/10/19,18,0.285,0.602,17.5,22.8,22.7,0.409,0.436,9.2,0.459,0.452,9.9
256385,RB,6/10/19,17,0.369,0.549,14.5,19.4,19.4,0.454,0.346,5.8,0.458,0.387,7.3
271368,RB,6/10/19,18,0.299,0.55,14.7,23.5,21.9,0.352,0.391,7.4,0.45,0.282,3.9
274943,RB,6/10/19,,,,,,,,,,,,
166828,FB,6/10/19,23,0.255,0.417,8.4,14.8,15.6,0.353,0.285,3.9,0.373,0.35,5.9
244748,WR,6/10/19,16,0.413,0.564,15.4,18.9,19.6,0.418,0.455,10,0.448,0.429,8.9
268317,WR,6/10/19,17,0.361,0.573,15.9,22.3,21.3,0.501,0.404,7.9,0.5,0.395,7.5
253852,WR,6/10/19,19,0.282,0.551,14.7,18.1,17.1,0.325,0.407,8,0.353,0.414,8.3
243267,WR,6/10/19,24,0.204,0.459,10.2,17.1,16.8,0.287,0.364,6.4,0.373,0.318,4.9
279990,WR,6/10/19,22,0.224,0.499,12,17.4,17.8,0.361,0.357,6.2,0.348,0.378,6.9
220975,WR,6/10/19,21,0.279,0.475,10.9,16.3,16,0.5,0.356,6.1,0.462,0.374,6.7
191713,WR,6/10/19,23,0.234,0.459,10.2,15.6,16.3,0.339,0.384,7.1,0.355,0.372,6.7
267618,WR,6/10/19,16,0.394,0.573,15.9,19.4,18.9,0.473,0.414,8.3,0.48,0.406,8
231037,WR,6/10/19,18,0.309,0.564,15.4,17.3,17.3,0.429,0.403,7.8,0.374,0.415,8.3
268103,WR,6/10/19,19,0.263,0.58,16.2,22.4,22.3,0.352,0.43,8.9,0.37,0.433,9
256351,WR,6/10/19,,,,,,,,,,,,
279464,WR,6/10/19,22,0.216,0.485,11.4,21,22.3,0.399,0.37,6.6,0.401,0.373,6.7
147297,TE,6/10/19,,,,,,,,,,,,
232568,TE,6/10/19,20,0.279,0.496,11.9,14.4,14,0.41,0.348,5.9,0.388,0.368,6.5
244911,TE,6/10/19,21,0.295,0.451,9.9,14.3,14.5,0.388,0.34,5.6,0.417,0.334,5.4
255797,TE,6/10/19,16,0.455,0.506,12.4,15.8,16,0.449,0.318,4.9,0.448,0.365,6.4
270485,TE,6/10/19,18,0.297,0.58,16.2,17,17.4,0.377,0.398,7.7,0.361,0.396,7.6
245315,TE,6/10/19,19,0.287,0.551,14.6,19.4,15.8,0.412,0.408,8,0.404,0.38,7
203557,C,6/10/19,25,0.228,0.401,7.8,8.5,9.3,0.345,0.221,2.4,0.379,0.246,2.9
226095,C,6/10/19,29,0.316,0.212,2.2,5.3,6.8,0.491,0.192,1.8,0.496,0.167,1.3
242650,C,6/10/19,,,,,,,,,,,,
140125,G,6/10/19,,,,,,,,,,,,
238490,G,6/10/19,20,0.306,0.477,11,15.6,16.6,0.384,0.331,5.3,0.419,0.352,6
267986,G,6/10/19,22,0.349,0.372,6.7,10.2,12.2,0.44,0.206,2.1,0.478,0.244,2.9
197087,G,6/10/19,,,,,,,,,,,,
250727,G,6/10/19,29,0.309,0.229,2.5,6.9,8.3,0.444,0.136,0.9,0.41,0.163,1.3
279738,G,6/10/19,28,0.328,0.221,2.4,13.4,13.9,0.388,0.184,1.7,0.461,0.199,1.9
210031,G,6/10/19,23,0.281,0.4,7.7,10.7,10.8,0.353,0.166,1.4,0.325,0.206,2.1
125643,T,6/10/19,20,0.288,0.478,11,13.7,12.8,0.423,0.312,4.7,0.446,0.301,4.4
255202,T,6/10/19,19,0.379,0.445,9.6,12.5,8.9,0.452,0.278,3.7,0.445,0.251,3
255609,T,6/10/19,21,0.306,0.45,9.8,13.9,12.8,0.433,0.303,4.4,0.478,0.29,4.1
238371,T,6/10/19,20,0.348,0.39,7.4,11.5,10.1,0.374,0.248,3,0.369,0.251,3
238352,T,6/10/19,27,0.271,0.304,4.6,13.8,12.3,0.674,0.22,2.3,0.688,0.294,4.2
256263,DE,6/10/19,15,0.517,0.508,12.5,16.6,14.8,0.436,0.228,2.5,0.445,0.227,2.5
238495,DE,6/10/19,21,0.324,0.433,9.1,12.2,12,0.412,0.344,5.7,0.42,0.31,4.7
226658,DE,6/10/19,32,0.218,0.261,3.3,12.8,12,0.302,0.146,1,0.335,0.152,1.1
267386,DE,6/10/19,24,0.256,0.397,7.6,15.5,15.7,0.512,0.347,5.8,0.455,0.392,7.4
200574,DE,6/10/19,24,0.224,0.412,8.2,14.4,15.5,0.303,0.217,2.3,0.308,0.215,2.2
256270,DE,6/10/19,29,0.18,0.352,6,10.5,10.7,0.372,0.18,1.6,0.32,0.258,3.2
189059,DE,6/10/19,,,,,,,,,,,,
233012,DT,6/10/19,22,0.357,0.366,6.5,11.7,12.6,0.495,0.273,3.6,0.517,0.272,3.6
253694,DT,6/10/19,,,,,,,,,,,,
254467,DT,6/10/19,21,0.272,0.491,11.7,17.5,16.1,0.346,0.29,4.1,0.369,0.296,4.2
266918,DT,6/10/19,20,0.326,0.439,9.3,12.9,12.5,0.394,0.24,2.9,0.387,0.268,3.5
156561,DT,6/10/19,,,,,,,,,,,,
255583,DT,6/10/19,24,0.269,0.367,6.5,11.8,10.9,0.438,0.218,2.3,0.416,0.244,2.9
202245,DT,6/10/19,,,,,,,,,,,,
268360,DT,6/10/19,20,0.374,0.419,8.5,12.2,12.1,0.548,0.218,2.4,0.452,0.237,2.7
174286,OLB,6/10/19,20,0.243,0.52,13.1,18.1,17.5,0.36,0.356,6.1,0.361,0.353,6
197077,OLB,6/10/19,29,0.21,0.322,5,12.3,16.1,0.386,0.304,4.5,0.428,0.327,5.2
219819,OLB,6/10/19,26,0.191,0.399,7.7,15.4,15.7,0.282,0.276,3.7,0.296,0.258,3.3
159048,OLB,6/10/19,,,,,,,,,,,,
255660,OLB,6/10/19,28,0.166,0.386,7.2,19.4,19.3,0.305,0.251,3.1,0.305,0.286,4
268234,OLB,6/10/19,21,0.238,0.492,11.7,15.9,16.5,0.3,0.308,4.6,0.342,0.364,6.4
175238,ILB,6/10/19,,,,,,,,,,,,
270716,ILB,6/10/19,21,0.22,0.542,14.2,19.9,19.3,0.397,0.401,7.8,0.415,0.367,6.5
247323,ILB,6/10/19,24,0.221,0.438,9.3,17.8,17.3,0.351,0.326,5.1,0.358,0.379,6.9
255319,ILB,6/10/19,19,0.299,0.522,13.2,21.9,22.3,0.361,0.371,6.7,0.407,0.367,6.5
251462,CB,6/10/19,23,0.204,0.474,10.8,18.1,16.9,0.31,0.337,5.5,0.321,0.346,5.8
215709,CB,6/10/19,21,0.217,0.527,13.4,19.2,19.3,0.385,0.405,7.9,0.35,0.424,8.7
251457,CB,6/10/19,25,0.217,0.409,8.1,16.9,15.8,0.346,0.288,4,0.321,0.322,5
268689,CB,6/10/19,,,,,,,,,,,,
255214,CB,6/10/19,21,0.256,0.508,12.4,14.9,15,0.327,0.344,5.7,0.308,0.366,6.5
172493,CB,6/10/19,17,0.334,0.593,17,19.4,19.4,0.4,0.431,9,0.403,0.419,8.5
254758,CB,6/10/19,25,0.201,0.419,8.5,17.6,15,0.295,0.282,3.8,0.301,0.269,3.5
233511,CB,6/10/19,22,0.182,0.54,14.1,19.4,20.3,0.273,0.408,8,0.271,0.435,9.2
268327,CB,6/10/19,,,,,,,,,,,,
186276,CB,6/10/19,22,0.204,0.522,13.2,18.1,18.6,0.305,0.408,8,0.305,0.406,8
245499,FS,6/10/19,24,0.204,0.445,9.6,12,12.5,0.325,0.335,5.4,0.318,0.316,4.8
267600,FS,6/10/19,17,0.397,0.512,12.7,17.1,15.8,0.602,0.341,5.6,0.596,0.364,6.4
250427,FS,6/10/19,24,0.209,0.44,9.4,16.6,16.7,0.279,0.358,6.2,0.273,0.375,6.8
192508,SS,6/10/19,21,0.267,0.465,10.4,18,16.5,0.458,0.332,5.3,0.511,0.405,7.9
243286,SS,6/10/19,,,,,,,,,,,,
268272,SS,6/10/19,,,,,,,,,,,,
228905,SS,6/10/19,23,0.317,0.373,6.7,16.2,14,0.407,0.235,2.7,0.394,0.289,4.1
254062,SS,6/10/19,17,0.392,0.535,13.8,16.1,15.7,0.455,0.33,5.3,0.391,0.365,6.4
195069,K,6/10/19,20,0.227,0.55,14.6,20.6,20.3,0.461,0.43,8.9,0.427,0.457,10.1
267576,P,6/10/19,24,0.172,0.485,11.4,16.6,17.3,0.279,0.376,6.8,0.288,0.362,6.3
199319,SN,6/10/19,22,0.227,0.476,10.9,14.3,14.1,0.358,0.36,6.3,0.356,0.374,6.8
268314,RB,7/18/19,17,0.298,0.602,17.5,22.4,23.5,0.442,0.428,8.9,0.458,0.436,9.2
268317,WR,7/18/19,18,0.322,0.562,15.3,21,20.6,0.524,0.406,8,0.496,0.396,7.6
279990,WR,7/18/19,20,0.216,0.553,14.8,20.3,20.3,0.362,0.388,7.3,0.352,0.427,8.8
267618,WR,7/18/19,19,0.292,0.541,14.2,18.7,19,0.414,0.37,6.7,0.448,0.401,7.8
268103,WR,7/18/19,18,0.302,0.557,15,20.8,21,0.416,0.409,8.1,0.47,0.41,8.1
279464,WR,7/18/19,21,0.258,0.489,11.6,19.9,20.6,0.396,0.353,6,0.41,0.328,5.2
270485,TE,7/18/19,18,0.328,0.531,13.6,17.4,17.7,0.443,0.341,5.6,0.425,0.357,6.2
267986,G,7/18/19,,,,,,,,,,,,
279738,G,7/18/19,26,0.32,0.267,3.5,12.8,13.2,0.382,0.166,1.4,0.419,0.197,1.9
